verse_number,english_verse,translation_verse
21,"So God made the giant sea monsters and all the living creatures that swim in the ocean. He also made every kind of bird. God looked at what he had done, and it was good.","Yiti Nyameɛ bɔle ɛpo nu ngaka mbiri mbiri ne mmaa mmaa mukoraa kyɛbɔ bɛ nu biala sue si te ɔ, ɔne nnomaa mukoraa kyɛbɔ bɛ nu biala sue si te ɔ. Na Nyameɛ nwuni kyɛ ɔte paa."
22,Then he gave the living creatures his blessing—he told the ocean creatures to increase and live everywhere in the ocean and the birds to increase everywhere on earth.,"Nyameɛ yirale bɛ, na ɔhane kyɛ, “Ɛ́mɔwo ná ɛmɔlɔ pee, ná ɛ́mɔyi ɛpo nu tɛkyɛ; nnomaa koso ɛ́mɔta pee wɔ aseɛ so!”"
23,"Evening came, then morning—that was the fifth day. The Sixth Day","Aleɛ sane, na aleɛ hyene: kyẽa bɔ ɔtɔ so nnu ɛne."
25,"God made every one of them. Then he looked at what he had done, and it was good.","Na Nyameɛ yɔle aseɛ so ngaka mbiri, awuro ngaka, yeɛ ngaka mmaa ne ngaka bɔ bɛtwe bɛ nwo ase, kyɛbɔ bɛ sue si te ɔ. Na Nyameɛ nwuni kyɛ ɔte paa."
26,"God said, “Now we will make humans, and they will be like us. We will let them rule the fish, the birds, and all other living creatures.”","Afei Nyameɛ sele kyɛ, “Ɛ́mɔma yɛyɔ sona kyɛ yɛ sɛso, ma osoma yɛ; ná yɛ́ma benya tumi wɔ ɛpo nu ngaka so, ewienu nnomaa so, awuro ngaka so, aseɛ amukoraa so, ɔne kaka biala bɔ ɔtwe ye nwo ase wɔ aseɛ so ɔ so.”"
27,So God created humans to be like himself; he made men and women.,"Yiti Nyameɛ bɔle sona kyɛ ye bɔbɔ ye sɛso, Nyameɛ sɛso yeɛ ɔbɔle ye ɔ; ɔbɔle bienzua ne brasua."
28,"God gave them his blessing and said: Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the ocean, the birds in the sky, and every animal on the earth.","Nyameɛ yirale bɛ, na osele bɛ kyɛ, “Ɛ́mɔwo ná ɛmɔta, ɛ́mɔyi aseɛ so tɛkyɛ ná ɛmɔli so; ná ɛ́mɔnya tumi wɔ ɛpo nu naen so, ɔne ewienu nnomaa ne kaka biala bɔ ɔwɔ aseɛ so ɔ so.”"
30,"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.","Na kaka biala bɔ ngoa wɔ ye nu: aseɛ so ngaka mukoraa, ewienu nnomaa mukoraa, yeɛ kaka biala bɔ ɔtwe ye nwo ase wɔ aseɛ so ne, mafa nyaanyaa mukoraa mama bɛ kyɛ beli.” Na ɔwale nu sɔ."
31,"God looked at what he had done. All of it was very good! Evening came, then morning—that was the sixth day.","Nyameɛ nwuni kyɛ nningyein bɔ wayɔ ne amukoraa te paa paa. Aleɛ sane, na aleɛ hyene: kyẽa bɔ ɔtɔ so nzia ɛne."
1,So the heavens and the earth and everything else were created. The Seventh Day,Yiti sɔ yeɛ Nyameɛ bɔle anwuro ne aseɛ ne bɛ nu nningyein mukoraa yiele ɔ.
3,"God blessed the seventh day and made it special, because on that day he rested from his work.","Yiti Nyameɛ yirale kyẽa bɔ ɔtɔ so nzoo ne, na ɔyɛle ye krongron, ofikyɛ ye adwuma bɔ ɔyɔle ye wɔ nningyein bɔlɛ nu ne, sɔ kyẽa ne yeɛ olele ye nwome ɔ. Eden turo ne"
4,"That's how God created the heavens and the earth. The Garden of Eden When the Lord God made the heavens and the earth,","Kyɛbɔ Ɛdangama si bɔle anwuro ne aseɛ ne, ye nwo dwirɛ ɛhe. Mmerɛ bɔ AWURADE Nyameɛ bɔle aseɛ ne anwuro ne,"
5,"no grass or plants were growing anywhere. God had not yet sent any rain, and there was no one to work the land.","né bakaa biala nne aseɛ so, yeɛ né ndire biala onnya offifili, ofikyɛ né AWURADE Nyameɛ onnya ɔttɔle nzue ogguale aseɛ so, yeɛ né sona biala nne berɛ bɔ ɔkɔyɔ so boo koso ɔ."
6,But streams came up from the ground and watered the earth.,Nakoso nzue fili aseɛnwo loaloale aseɛ so amukoraa.
7,"The Lord God took some soil from the ground and made a man. God breathed life into the man, and the man started breathing.","Na AWURADE Nyameɛ fale aseɛnwo nnɛterɛ nwone kuro sona, na olele ngoa nwomeɛ guale ye bonyi anu, na kuro sona ɔɔyɛle teasefoɛ."
8,"The Lord made a garden in a place called Eden, which was in the east, and he put the man there.","Afei AWURADE Nyameɛ yɔle turo bie wɔ Eden, bɔ ɔwɔ eyia afiteleɛ, na ɔmane biaa bɔ ɔnwone ye ne tenane berɛ."
9,The Lord God filled the garden with all kinds of beautiful trees and fruit trees. Two other trees were in the middle of the garden. One of these gave life—the other gave the wisdom to know the difference between right and wrong.,"Na AWURADE Nyameɛ mane mmakaa mukoraa bɔ bɛyɛ nyemene ná ɔte paa kyɛ bedi ɔ fifili aseɛnwo wɔ turo ne anu; ɔmane ngoa bakaa fifili turo n’afia, yeɛ paa ne bɔne nwo nimdeɛ bakaa koso fifili nu."
10,"From Eden a river flowed out to water the garden, then it divided into four rivers.","Né asue bie tengyɛ fi Eden ba doadoa turo ne anu berɛ, na asue ne fi berɛ a, nu pakyepakye yɛ asue sa nna."
11,"The first one is the Pishon River that flows through the land of Havilah,","Bɔ oli moa ne li Pisɔn; na ɔtengyɛ pɛ Hawila aseɛ mukoraa, bɔ sikaa kɔkorɛ wɔ so ne nwo bra yia."
13,The second is the Gihon River that winds through Ethiopia.,Asue bɔ ɔtɔ so nyɔ ne li Gihon; na ɔtengyɛ pɛ Kuse aseɛ nwo amu bra yia.
14,"The Tigris River that flows east of Assyria is the third, and the fourth is the Euphrates River.","Asue bɔ ɔtɔ so nza ne li Tigrise, na ɔtengyɛ wɔ Asiria eyia afiteleɛ. Asue bɔ ɔtɔ so nna ne li Yufreti."
15,The Lord God put the man in the Garden of Eden to take care of it and to look after it.,"Na AWURADE Nyameɛ fale biaa ne ɔɔtenane Eden turo ne anu, kyɛ ɔyɔ nu adwuma ná ɔnea so."
16,"But the Lord told him, “You may eat fruit from any tree in the garden,","Na AWURADE Nyameɛ kanzole biaa ne kyɛ, “Ɛkora di turo ne anu bakaa mmaa biala;"
17,"except the one that has the power to let you know the difference between right and wrong. If you eat any fruit from that tree, you will die before the day is over!”","nakoso paa ne bɔne nwo nimdeɛ bakaa ne de, nnɛdi bie, ofikyɛ kyẽa bɔ ekoli bie ne, ewue yeɛ ekowu ɔ.”"
18,"The Lord God said, “It isn't good for the man to live alone. I will make a suitable partner for him.”","Na AWURADE Nyameɛ sele kyɛ, “Ɔtte mayee kyɛ sona ne ngome kɔtena ɔ; ngɔyɛ bokafoɛ bɔ ɔfata ye ɔ ngɔma ye.”"
21,"So the Lord God made him fall into a deep sleep, and he took out one of the man's ribs. Then after closing the man's side,","Yiti AWURADE Nyameɛ mane sona ne lafele hatee. Na ɔlale nen, ɔyele ye mvenu mbaleɛ ko, na ɔfale anwoɔnaen tuale ye boso."
22,"the Lord made a woman out of the rib. The Lord God brought her to the man,","Na mbaleɛ bɔ AWURADE Nyameɛ ye fili sona ne anu ne, ɔfa yɛle brasua, na ɔfale ye brɛle sona ne."
23,"and the man exclaimed, “Here is someone like me! She is part of my body, my own flesh and bones. She came from me, a man. So I will name her Woman!”","Na sona ne sele kyɛ, “Afei de, me mmowue nu bowue ne me nwonaen nu anwoɔnaen ɛhe; bɛkɔfrɛ ye Brasua, ofikyɛ Bienzua nu yeɛ bɛyele ye befili ɔ.”"
24,"That's why a man will leave his own father and mother. He marries a woman, and the two of them become like one person.","Yiti bienzua kofi ɔse ne oni anwo, ná waafa ye nwo wabata ɔye, na bayɛ anwoɔnaen ko."
25,"Although the man and his wife were both naked, they were not ashamed.","Né biaa ne ne ɔye ne bɛ nwo la so, nakoso né ɔnyɛ bɛ nya."
1,"The snake was sneakier than any of the other wild animals that the Lord God had made. One day it came to the woman and asked, “Did God tell you not to eat fruit from any tree in the garden?”","Né ewoo te kanda tra eburo kaka biala bɔ AWURADE Nyameɛ ayɔ ɔ. Na obisale braa ne kyɛ, “Yiti Nyameɛ aha kyɛ, ‘Nnɛma ɛmɔdi turo ye anu bakaammaa biala bie’?”"
2,"The woman answered, “God said we could eat fruit from any tree in the garden,","Na braa ne buale ewoo ne kyɛ, “Atee wɔ berɛ kyɛ yɛdi turo ne anu mmakaammaa ne bie;"
3,"except the one in the middle. He told us not to eat fruit from that tree or even to touch it. If we do, we will die.”","nakoso Nyameɛ nwa: ‘Bakaa bɔ ogyi turo n’afia ne mma de, nnɛma ɛmɔdi bie, yeɛ nnɛma ɛmɔfa bɛ sa bɛka ye. Sɛ ɛmɔdi a, ewue yeɛ ɛmɔkowu ɔ.’ ”"
4,"“No, you won't!” the snake replied.","Nakoso ewoo ne sele braa ne kyɛ, “Ɛmɔngowu biala."
5,"“God understands what will happen on the day you eat fruit from that tree. You will see what you have done, and you will know the difference between right and wrong, just as God does.”","Ofikyɛ Nyameɛ se kyɛ kyẽa bɔ ɛmɔkoli bie ne, ɛmɔ nye kobukye, na ɛmɔkɔyɛ kyɛ Nyameɛ ala, na ɛmɔanwu paa ne bɔne.”"
6,"The woman stared at the fruit. It looked beautiful and tasty. She wanted the wisdom that it would give her, and she ate some of the fruit. Her husband was there with her, so she gave some to him, and he ate it too.","Na braa ne nwuni kyɛ saa bedi bakaa ne mma a ɔyɛ yee, ɔyɛ nyemene, na ɔkora ma sona nwu nworɛ. Yiti ɔtele ye mma ne bie lili, ɔmane ohu ne koso bie, na ye koso olili."
7,"At once they saw what they had done, and they realized they were naked. Then they sewed fig leaves together to cover themselves.","Afei bɛ munyɔ bɛ nye wale bɛ nwo so, na benwuni kyɛ bɛ nwo lela so; yiti bɛpale borɔdoma nyaa bɛfa bɛkatale bɛ nwo."
8,"Late in the afternoon, when the breeze began to blow, the man and woman heard the Lord God walking in the garden. So they hid behind some trees. Sin Brings a Curse","Na aleɛ dwole ne, bɛtele AWURADE Nyameɛ gya boso kyɛ ɔnatenate turo ne anu, yiti biaa ne ne ɔye ne bɛɛfeale AWURADE Nyameɛ wɔ turo nu berɛ mmakaa ne anu."
9,"The Lord God called out to the man and asked, “Where are you?”","Nakoso AWURADE Nyameɛ frɛle biaa ne bisale ye kyɛ, “Ɛwɔ nisua?”"
10,"The man answered, “I was naked, and when I heard you walking through the garden, I was frightened and hid!”","Na biaa ne buale kyɛ, “Ndele wɔ gya boso wɔ turo ne anu, na ɛserɛ hane me, ofikyɛ né me nwo la so, yiti ngɔmveale.”"
11,“How did you know you were naked?” God asked. “Did you eat any fruit from that tree in the middle of the garden?”,"Na Nyameɛ bisale ye kyɛ, “Nwa yeɛ osele wɔ kyɛ wɔ nwo la so ɔ? Bakaa bɔ nganzole wɔ kyɛ nnɛdi ye mma ne bie ne, ali bie hɔ ɔ?”"
12,"“It was the woman you put here with me,” the man said. “She gave me some of the fruit, and I ate it.”","Na biaa ne buale kyɛ, “Braa ne bɔ ɛfale ye ɛɛbokale me so ne, ye yeɛ ɔfale bakaa ne mma ne mane me ɔ, yeɛ me koso nnili ɔ.”"
13,"The Lord God then asked the woman, “What have you done?” “The snake tricked me,” she answered, “and I ate some of that fruit.”","Na AWURADE Nyameɛ bisale braa ne kyɛ, “Nzikyɛ nikye yeɛ ayɔ ye?” Na braa ne buale kyɛ, “Ewoo ne yeɛ ɔlakalakale me maa nnili ɔ.”"
14,"So the Lord God said to the snake: “Because of what you have done, you will be the only animal to suffer this curse— For as long as you live, you will crawl on your stomach and eat dirt.","Na AWURADE Nyameɛ sele ewoo ne kyɛ, “Ɔnate ɛhe bɔ ayɔ ne ati, musue to wɔ wɔ kuro ngaka mukoraa, ɔne eburo ngaka mukoraa nu. Ɛkɔhwe wɔ nwo ase wɔ ko so, na ekoli nnɛterɛ w’asetena nu amukoraa."
15,"You and this woman will hate each other; your descendants and hers will always be enemies. One of hers will strike you on the head, and you will strike him on the heel.”","Ngɔfa ɛpɔen ngɔto wɔ ne braa n’afia, yeɛ wɔ boso ama ne ye boso ama b’afia; ɔkɔgyerɛgyerɛ wɔ ti, na wɔ wora aha ye gya si.”"
16,"Then the Lord God said to the woman, “You will suffer terribly when you give birth. But you will still desire your husband, and he will rule over you.”","Na braa ne wora, Nyameɛ sele ye kyɛ, “Ngɔmaa ɛkɔte aworɛ nu yealɛ paa, na yealɛ nu yeɛ ɛkɔwo mmaa ɔ. Nakoso wɔ wora kɔlɔ ehu, na okoli wɔ so.”"
17,"The Lord said to the man, “You listened to your wife and ate the fruit I told you not to eat. And so, the ground will be under a curse because of what you did. As long as you live, you will have to struggle to grow enough food.","Na Nyameɛ sele Adam koso kyɛ, “Kyɛbɔ atie bɔ ɛye hane, na ali bakaa bɔ nganzole wɔ kyɛ ‘nnɛdi ye mma ne bie’ ne ati, ɔnate wɔ ti, musue aha aseɛ. Na ɛfɛɛ paa yeɛ ɛkɔfɛ koraa né adidi so w’asetena mukoraa nu ɔ."
18,"Your food will be plants, but the ground will produce thorns and thistles.","Okofifi mmowue ne ɛfone kɔma wɔ, na eburo mmakaa so aleɛ yeɛ ekoli ɔ."
19,"You will sweat all your life to earn a living; you were made out of soil, and you will once again turn into soil.”","Mvifire kosongyi wɔ ti anwo koraka né anya aleɛ ali, kɔpem kyɛ ekosa kɔhɔ nnɛterɛ nu ɔ; ofikyɛ nnɛterɛ nu yeɛ nyele wɔ mvili ɔ, ɛte nnɛterɛ, na nnɛterɛ nu ala yeɛ ekosa kɔhɔ ɔ.”"
20,The man Adam named his wife Eve because she would become the mother of all who live.,"Na biaa ne tole ɔye ne dumaa Hawa, ofikyɛ ɔte teasefoɛ mukoraati bɛ ni."
21,Then the Lord God made clothes out of animal skins for the man and his wife.,Na AWURADE Nyameɛ fale nwomaa pombale ɛtena mane Adam ne ɔye maa bɛherale. Nyameɛ foa Adam ne Hawa fi Eden
22,"The Lord said, “They now know the difference between right and wrong, just as we do. But they must not be allowed to eat fruit from the tree that lets them live forever.”","Afei AWURADE Nyameɛ sele kyɛ, “Nea, kuro sona ne ayɛ kyɛ yɛ nu ko ala, wanwu paa ne bɔne. Annea a, né watengyɛ ye sa wate ngoa bakaa ne koso bie wali, ná watena ase daa.”"
23,"So the Lord God sent them out of the Garden of Eden, where they would have to work the ground from which the man had been made.","Yiti AWURADE Nyameɛ foane ye fili Eden turo ne anu, kyɛ ɔɔyɔ kua wɔ aseɛ bɔ ɔyele ye fili nu ne aso."
24,"Then God put winged creatures at the entrance to the garden and a flaming, flashing sword to guard the way to the life-giving tree.","Ɔfoane kuro sona ne fili berɛ, na ɔfale kɛrubim, ɔne ngrandɛ bɔ ogye wuronyiwuronyi, na osa pɛ ye nwo osiele Eden turo ne nyunu wɔ eyia afiteleɛ, kyɛ ɔbɔ atee bɔ ɔkɔ ngoa bakaa ne nwo waen."
1,"Adam and Eve had a son. Then Eve said, “I'll name him Cain because I got him with the help of the Lord.”","Adam ne ɔye Hawa bɛlale, ɔnwonzɛle, na ɔwole Kein. Na Hawa hane kyɛ, “AWURADE adaworoma, mawo bienzua.”"
2,"Later she had another son and named him Abel. Abel became a sheep farmer, but Cain farmed the land.","Nziɛ ye, ɔwole oliɛma bienzua Abel. Né Abel te mmoaenneafoɛ, yeɛ Kein koso te kuaniɛ."
3,"One day, Cain gave part of his harvest to the Lord,","Nziɛ ye ne, Kein fale fieso nningyein ne bie ɔɔbɔle afɔleɛ mane AWURADE."
4,"and Abel also gave an offering to the Lord. He killed the first-born lamb from one of his sheep and gave the Lord the best parts of it. The Lord was pleased with Abel and his offering,","Na Abel koso fale ye mmoaen ne anu nyii bɔ belili moa bɛwole bɛ ne, na ɔfale bɛ loe ne ɔɔbɔle afɔleɛ. Na AWURADE nye sɔle Abel ne ye afɔleɛ ne,"
5,but not with Cain and his offering. This made Cain so angry that he could not hide his feelings.,"nakoso ye nye anzɔ Kein ne ye afɔleɛ ne. Yiti Kein fɛle yaa hahii, na ye wora bɔle."
6,The Lord said to Cain: What's wrong with you? Why do you look so angry?,"Na AWURADE bisale Kein kyɛ, “Nzu ati yeɛ afɛ yaa ye? Nzu ati yeɛ wɔ wora abɔ ye?"
7,"If you had done the right thing, you would be smiling. But you did the wrong thing, and now sin is waiting to attack you like a lion. Sin wants to destroy you, but don't let it!","Aso ɛyɔ bɔ ɔte paa a, engonya animnyam? Nakoso anyɔ bɔ ɔte paa ne ati, bɔne tetɛ wɔ w’anoa nu berɛ. Ɔpena kyɛ onya wɔ nwo ate, nakoso odi kyɛ edi ye so”"
8,"Cain said to his brother Abel, “Let's go for a walk.” And when they were out in a field, Cain attacked and killed him.","Na Kein sele oliɛma Abel kyɛ, “Maa yɛhɔ fieso.” Na bɛwɔ fie ne aso nen, Kein hɔle oliɛma Abel so, na ohuni ye."
9,"Afterwards the Lord asked Cain, “Where is Abel?” “How should I know?” he answered. “Am I supposed to look after my brother?”","Na AWURADE bisale Kein kyɛ, “Eliɛma Abel wɔ nisua?” Na obuale kyɛ, “Menze. Nniɛma ne, me yeɛ menea ye so hɔ ɔ?”"
10,"Then the Lord said: Why have you done this terrible thing? You killed your own brother, and his blood flowed onto the ground. Now his blood is calling out for me to punish you.","Na AWURADE sele kyɛ, “Nzikyɛ nikye yeɛ ayɔ ye? Eliɛma ne, ye mogya ɔteatea nu sũ frɛ me fi aseɛnwo."
11,"And so, I'll put you under a curse. Because you killed Abel and made his blood run out on the ground, you will never be able to farm it again.","Na aseɛ bɔ wabukye ye noa nu wano eliɛma ne mogya bɔ ɛha guale nen, musue ato wɔ wɔ so."
12,"When you try to farm the land, it won't produce anything for you. From now on, you'll be without a home, and you'll spend the rest of your life wandering from place to place.","Sɛ ɛyɔ aseɛ ne aso boo a, ɔngɔhye aleɛ ngɔma wɔ ko. Ɛkɔyɛ kobɔniɛ, na engonya amandena wɔ aseɛ so.”"
13,“This punishment is too hard!” Cain said.,"Na Kein sele AWURADE kyɛ, “M’asohwenɛ ne ɔbo me so."
14,"“You're making me leave my home and live far from you. I will have to wander about without a home, and just anyone could kill me.”","Ɛnɛ afoa me afi aseɛ ye aso, ngɔfa me nwo ngɔfea wɔ. Ngɔyɛ kobɔniɛ bɔ nnne amandena wɔ aseɛ ye aso ɔ, na ebiala bɔ okonwu me ne, okohu me.”"
15,“No!” the Lord answered. “Anyone who kills you will be punished seven times worse than I am punishing you.” So the Lord put a mark on Cain to warn everyone not to kill him.,"Na AWURADE sele ye kyɛ, “Nna sɔ ɔ! Sɛ ebie ku Kein a, bɛkɔtɔ sɔ sona ne so wereɛ pɛen nzoo.” Na AWURADE hyɛle Kein nzorɛ, kyɛbɔ ɔkɔyɛ na ebie nwu ye a ongohu ye ɔ."
16,"But Cain had to go far from the Lord and live in the Land of Wandering, which is east of Eden. More and More People","Afei Kein fili AWURADE nyunu berɛ hɔle, na ɔɔtenane Nɔɔdo aseɛ so wɔ Eden eyia afiteleɛ."
17,"Later, Cain and his wife had a son named Enoch. At the time Cain was building a town, and so he named it Enoch after his son.","Kein ne ɔye bɛlale, ɔnwonzɛle, na ɔwole Henɔke. Kein kyekyele kuro bie, na ɔfale ɔwa Henɔke dumaa tole kuro ne."
18,"Then Enoch had a son named Irad, who had a son named Mehujael, who had a son named Methushael, who had a son named Lamech.","Henɔke wole Yirade, Yirade wole Mehuyael, Mehuyael wole Metusael, yeɛ Metusael wole Lamɛke."
21,"Lamech and Adah had two sons, Jabal and Jubal. Their son Jabal was the first to live in tents and raise sheep and goats. Jubal was the first to play harps and flutes.","Né oliɛma bienzua ole Yubal, bɔ ye bosofoɛ te mmenia bɔ bɛbɔ sangoo na behu awɛen ɔ."
22,"Lamech and Zillah had a son named Tubal Cain who made tools out of bronze and iron. They also had a daughter, whose name was Naamah.","Sila wole Tubal Kein, bɔ né ɔte kɔɔbere ne mmuralɛ mukoraa dwumvoɛ ne. Né Tubal Kein aliɛma brasua ole Naama."
24,Anyone who tries to get even with me will be punished ten times more than anyone who tries to get even with Cain.”,"Sɛ bɛkɔtɔ Kein so wereɛ pɛen nzoo de a, nzaade bɛkɔtɔ Lamɛke so wereɛ aburasoo ne nzoo.”"
25,"Adam and his wife had another son. They named him Seth, because they said, “God has given us a son to take the place of Abel, who was killed by his brother Cain.”","Adam ne ɔye lale bieku; braa ne wole bienzua, na ɔtole ye dumaa Sɛte, ofikyɛ braa ne hane kyɛ, “Nyameɛ amaa manya baa foforɛ masi Abel bɔ Kein huni ye ne gya nu.”"
26,"Later, Seth had a son and named him Enosh. About this time people started worshiping the Lord.","Sɛte koso wole baa bienzua, na ɔtole ye dumaa Enose. Na sɔ mmerɛ ne yeɛ mmenia hyɛle ye bo kyɛ bɛ́bɔ AWURADE dumaa bɛsɔne ye ɔ."
2,"God created men and women to be like himself. He gave them his blessing and called them human beings. The following is a list of the descendants of Adam, the first man:","Ɔbɔle bɛ bienzua ne brasua, na oyirale bɛ. Na ɔtole bɛ dumaa ‘Sona’ wɔ mmerɛ bɔ ɔbɔle bɛ ne."
24,and God took him away at the age of,"Henɔke ne Nyameɛ natele, na otu minini, ofikyɛ Nyameɛ fale ye hɔle."
29,"Lamech said, “I'll name him Noah because he will give us comfort, as we struggle hard to make a living on this land that the Lord has put under a curse.”","Ɔtole ye dumaa Nowa, na ɔhane kyɛ, “Ye yeɛ okofi aseɛ bɔ AWURADE anoma ye ne anu ɔkɔkyekye yɛ wora wɔ yɛ adwuma, ɔne ɛfɛɛ wora bɔ yɛfɛ yɛ sa nu ɔ.”"
2,"More and more people were born, until finally they spread all over the earth. Some of their daughters were so beautiful that supernatural beings came down and married the ones they wanted.","Nyameɛ mma nemɔ benwuni kyɛ mmenia mma mmrasua nemɔ bɛ nwo yɛ nyemene, yiti begyigyale bɛ nu biala bɔ bekuro ɔ."
3,"Then the Lord said, “I won't let my life-giving breath remain in anyone forever. No one will live for more than","Na AWURADE hane kyɛ, “Me sunzum ngɔtena kuro sona nu afebɔɔ, ofikyɛ ɔte anwoɔnaen, ye afoɛ mukoraa bɔ okoli ɔ kɔyɛ ɛyaa ko ne aburanyɔ.”"
4,The children of the supernatural beings who had married these women became famous heroes and warriors. They were called Nephilim and lived on the earth at that time and even later.,"Na sɔ mmerɛ ne anu, yeɛ ye si ye po, né Nefilifoɛ wɔ aseɛ so. Na ɔwale kyɛ Nyameɛ mma nemɔ bɛɛfale mmenia mma mmrasua nemɔ, na bɛ ne bɛ wowole mmaa. Na sɔ mmaa nemɔ ole daa tete anwoserɛfoɛ, mmenia bɔ belele dumaa ne."
5,The Lord saw how bad the people on earth were and that everything they thought and planned was evil.,"Afei AWURADE nwuni kyɛ kuro sona amumuyɛɛ asone pee wɔ aseɛ ye aso, na nzusuleɛ tɛɛ ngome ayi ye ti anu tɛkyɛ daa."
7,"and he said, “I'm going to destroy every person on earth! I'll even wipe out animals, birds, and reptiles. I'm sorry I ever made them.”","Yiti AWURADE hane kyɛ, “Ngonua kuro sona bɔ mabɔ ye ne boso ngofi aseɛ ye aso: mmenia ne ngaka mbiri ne ngaka bɔ bɛtwe bɛ nwo ase ne ewienu nnomaa, ofikyɛ manu me nwo kyɛ nyɔle bɛ ɔ.”"
8,"But the Lord was pleased with Noah,","Nakoso Nowa de, ye yɔleɛ sɔle AWURADE nye. Nowa apam alaka ne"
