verse_number,english_verse,translation_verse
28,"God gave them his blessing and said: Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the ocean, the birds in the sky, and every animal on the earth.","Na Onyankopɔn hyiraa wɔn, na ɔka kyerɛɛ wɔn sɛ: Monwo, na monnɔre, na monyɛ asase so ma, na monya so tumi; na monni ɛpo mu mpataa ne ewiem nnomaa ne mmoa a wɔwɔ asase soɔ nyinaa so."
29,I have provided all kinds of fruit and grain for you to eat.,"Na Onyankopɔn kaa sɛ: Hwɛ, mede mfudeɛ a ɛwɔ asase ani nyinaa ne nnuaba nyinaa mama mo sɛ ɛnyɛ mo aduane."
30,"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.","Na asase so mmoadoma nyinaa ne ewiem nnomaa nyinaa ne mmoa a wɔwea asase soɔ nyinaa, mede nhahan mono mama wɔn sɛ wɔnni. Na ɛyɛɛ saa."
31,"God looked at what he had done. All of it was very good! Evening came, then morning—that was the sixth day.","Na Onyankopɔn hunuu deɛ ɔyɛeɛ nyinaa, na hwɛ, ɛyɛ pa ara. Na adeɛ sae, na adeɛ kyee, da a ɛtɔ so nsia ne no."
1,So the heavens and the earth and everything else were created. The Seventh Day,Na wɔwiee ɔsoro ne asase ne deɛ ɛwɔ mu nyinaa bɔ.
3,"God blessed the seventh day and made it special, because on that day he rested from his work.","Na Onyankopɔn hyiraa da a ɛtɔ so nson no so, na ɔtee ho, ɛfiri sɛ ɛno mu na ɔhome firii n’adwuma a ɔyɛeɛ wɔ adebɔ mu no nyinaa ho. Eden turo no"
5,"no grass or plants were growing anywhere. God had not yet sent any rain, and there was no one to work the land.","Na afuo mu nnua nyinaa nnya mmaa asase so, na afuo mu nhahan nyinaa nnya mfifirii, ɛfiri sɛ na AWURADE Nyankopɔn nnya ntɔɔ nsuo nguu asase no so, na na onipa a ɔbɛdɔ asase nni hɔ."
6,But streams came up from the ground and watered the earth.,"Na nsuo firi asase so foroe, na ɛfɔɔ asase ani nyinaa."
7,"The Lord God took some soil from the ground and made a man. God breathed life into the man, and the man started breathing.","Na AWURADE Nyankopɔn de fam dɔteɛ nwonoo onipa, na ɔhuu nkwa home guu ne hwene mu, na onipa yɛɛ ɔkra teasefoɔ."
8,"The Lord made a garden in a place called Eden, which was in the east, and he put the man there.","Na AWURADE Nyankopɔn yɛɛ turo bi wɔ Eden a ɛwɔ apueeɛ fam, na ɔde onipa a ɔnwonoo no no tenaa hɔ."
9,The Lord God filled the garden with all kinds of beautiful trees and fruit trees. Two other trees were in the middle of the garden. One of these gave life—the other gave the wisdom to know the difference between right and wrong.,"Na AWURADE Nyankopɔn maa nnua ahodoɔ nyinaa a wɔhwɛ a, ɛyɛ fɛ, na ɛyɛ sɛ wɔdie asase no so, ne nkwa dua a ɛsi turo no mfimfini, ne papa ne bɔne ho nimdeɛ dua fifirii asase no so."
10,"From Eden a river flowed out to water the garden, then it divided into four rivers.","Na asuo bi tene firi Eden bɛfɔ turo no, na ɛfiri hɔ ara na emu paapae yɛɛ nsutire nnan."
11,"The first one is the Pishon River that flows through the land of Havilah,","Deɛ ɛdi kan no din de Pison, ɛno na ɛkonton twa Hawila asase a sika wɔ soɔ no nyinaa ho hyiae."
12,"where pure gold, rare perfumes, and precious stones are found.",Na asase no so sika yɛ papa. Ɛhɔ na bedola aduhwam ne apopobibireboɔ wɔ.
13,The second is the Gihon River that winds through Ethiopia.,Na asuo a ɛtɔ so mmienu no din de Gihon. Ɛno na ɛkonton twa Kus asase nyinaa ho hyia.
14,"The Tigris River that flows east of Assyria is the third, and the fourth is the Euphrates River.","Na asuo a ɛtɔ so mmiɛnsa no ne Tigri, ɛno na ɛsene wɔ Asiria apueeɛ. Na asuo a ɛtɔ so nnan ne Eufrate."
15,The Lord God put the man in the Garden of Eden to take care of it and to look after it.,Na AWURADE Nyankopɔn de onipa no kɔtenaa Eden turom sɛ ɔnnɔ na ɔnwɛn hɔ.
16,"But the Lord told him, “You may eat fruit from any tree in the garden,","Na ɔhyɛɛ onipa no sɛ: Turom ha nnua nyinaa, di bi."
17,"except the one that has the power to let you know the difference between right and wrong. If you eat any fruit from that tree, you will die before the day is over!”","Na mmom papa ne bɔne ho nimdeɛ dua no deɛ, nni; ɛfiri sɛ da a wobɛdi bie no, wuo na wobɛwuo."
18,"The Lord God said, “It isn't good for the man to live alone. I will make a suitable partner for him.”",Na AWURADE Nyankopɔn kaa sɛ: Ɛnyɛ sɛ onipa nko tena; mɛyɛ ne nsɛsoɔ boafoɔ mama no.
21,"So the Lord God made him fall into a deep sleep, and he took out one of the man's ribs. Then after closing the man's side,","Na AWURADE Nyankopɔn maa nnahɔɔ tɔɔ onipa no so, na ɔdae. Na ɔyii ne mfe mpadeɛ mu baako, na ɔde nam tuaa ananmu."
22,"the Lord made a woman out of the rib. The Lord God brought her to the man,","Na AWURADE Nyankopɔn de mpadeɛ a ɔyi firii onipa no mu no yɛɛ ɔbaa, na ɔde no brɛɛ onipa no."
23,"and the man exclaimed, “Here is someone like me! She is part of my body, my own flesh and bones. She came from me, a man. So I will name her Woman!”","Na onipa no kaa sɛ: Ampa ara, me nnompe mu dompe, ne me honam mu nam ankasa nie. Oyi na wɔbɛfrɛ no Ɔbaa, ɛfiri sɛ Ɔbarima mu na wɔyii no firiiɛ."
24,"That's why a man will leave his own father and mother. He marries a woman, and the two of them become like one person.","Saa nti na ɔbarima bɛgya ne na ne n’agya hɔ, na ɔde ne ho akɔbata ne yere ho, na wɔayɛ honam korɔ."
25,"Although the man and his wife were both naked, they were not ashamed.","Na wɔn baanu no deda adagya, ɔbarima no ne ne yere, nanso wɔn ani anwu."
1,"The snake was sneakier than any of the other wild animals that the Lord God had made. One day it came to the woman and asked, “Did God tell you not to eat fruit from any tree in the garden?”",Na ɔwɔ yɛ aniteɛ kyɛne wiram mmoadoma a AWURADE Nyankopɔn yɛɛ wɔn nyinaa. Na ɔbisaa ɔbaa no sɛ: Ampa ara sɛ Onyankopɔn aka akyerɛ mo sɛ: Monnni turom ha nnua nyinaa bi?
2,"The woman answered, “God said we could eat fruit from any tree in the garden,","Na ɔbaa no buaa ɔwɔ no sɛ: Turom ha nnua aba no, yɛdi bi;"
3,"except the one in the middle. He told us not to eat fruit from that tree or even to touch it. If we do, we will die.”","nanso dua a ɛsi turo no mfimfini no aba deɛ, Onyankopɔn aka sɛ: Monnni bi, nso mommfa mo nsa nnka, na moanwu."
4,"“No, you won't!” the snake replied.",Na ɔwɔ no ka kyerɛɛ ɔbaa no sɛ: Ɛnyɛ wuo na mobɛwuo;
5,"“God understands what will happen on the day you eat fruit from that tree. You will see what you have done, and you will know the difference between right and wrong, just as God does.”","na Onyankopɔn nim sɛ da a mobɛdi bie no, mo ani bɛbue, na moayɛ sɛ Onyankopɔn ahunu papa ne bɔne."
6,"The woman stared at the fruit. It looked beautiful and tasty. She wanted the wisdom that it would give her, and she ate some of the fruit. Her husband was there with her, so she gave some to him, and he ate it too.","Na ɔbaa no hunuu sɛ dua no yɛ sɛ wɔdie, na ɛyɛ aniwa fɛ, ɛyɛ akɔnnɔ, na ɛbɛte ani, enti ɔtee n’aba bi, na ɔdii, na ɔde bi maa ne kunu a ɔka ne ho no nso, na ɔdii."
7,"At once they saw what they had done, and they realized they were naked. Then they sewed fig leaves together to cover themselves.","Na wɔn baanu ani buebuee, na wɔhunuu sɛ wɔdeda adagya, enti wɔpempam borɔdɔma ahahan yɛɛ nkatanim fae."
8,"Late in the afternoon, when the breeze began to blow, the man and woman heard the Lord God walking in the garden. So they hid behind some trees. Sin Brings a Curse",Na wɔtee AWURADE Nyankopɔn nka sɛ ɔnam turom hɔ wɔ anwummerɛ mferɛ mu. Na Adam ne ne yere kɔhunta firii AWURADE Nyankopɔn anim wɔ turom hɔ nnua mu.
9,"The Lord God called out to the man and asked, “Where are you?”","Na AWURADE Nyankopɔn frɛɛ Adam, na ɔbisaa no sɛ: Wowɔ he?"
10,"The man answered, “I was naked, and when I heard you walking through the garden, I was frightened and hid!”","Na ɔse: Metee wo nka wɔ turom hɔ no, mesuroe, ɛfiri sɛ meda adagya, na mehuntae."
11,“How did you know you were naked?” God asked. “Did you eat any fruit from that tree in the middle of the garden?”,Na ɔbisaa no sɛ: Hwan na ɔka kyerɛɛ wo sɛ woda adagya? Dua a mehyɛɛ wo sɛ nni bie no na woadie yi?
12,"“It was the woman you put here with me,” the man said. “She gave me some of the fruit, and I ate it.”","Na Adam kaa sɛ: Ɔbaa no a wode no bɛkaa me ho no, ɔno na ɔmaa me dua no aba no bie, na mediiɛ."
13,"The Lord God then asked the woman, “What have you done?” “The snake tricked me,” she answered, “and I ate some of that fruit.”","Na AWURADE Nyankopɔn ka kyerɛɛ ɔbaa no sɛ: Adɛn na woyɛɛ saa? Na ɔbaa no se: Ɔwɔ no na ɔdaadaa me, maa mediiɛ. Onipa bu atɛn"
14,"So the Lord God said to the snake: “Because of what you have done, you will be the only animal to suffer this curse— For as long as you live, you will crawl on your stomach and eat dirt.","Na AWURADE Nyankopɔn ka kyerɛɛ ɔwɔ no sɛ: Ɛnam sɛ woayɛ yei nti, wɔadome wo ntɔteboa ne wiram mmoadoma nyinaa mu. Wo yafunu so na wobɛnanteɛ, na woadi dɔteɛ wo nkwa nna nyinaa."
15,"You and this woman will hate each other; your descendants and hers will always be enemies. One of hers will strike you on the head, and you will strike him on the heel.”","Na mede ɔtan bɛto wo ne ɔbaa no ntam, ɛne w’asefoɔ ne n’asefoɔ ntam; ɔno na ɔbɛbɔ wo tire, na wo nso woaka ne nantin."
16,"Then the Lord God said to the woman, “You will suffer terribly when you give birth. But you will still desire your husband, and he will rule over you.”","Ɔbaa no deɛ, ɔka kyerɛɛ no sɛ: Dɔ na mɛma wo yea ne wo nyinsɛn mu brɛ adɔɔso. Yea mu na wobɛwo mma, na w’ani bɛgyina wo kunu, na ɔno na ɔbɛdi wo soɔ."
17,"The Lord said to the man, “You listened to your wife and ate the fruit I told you not to eat. And so, the ground will be under a curse because of what you did. As long as you live, you will have to struggle to grow enough food.","Na Adam deɛ, ɔka kyerɛɛ no sɛ: Sɛ woatie wo yere nne, na woadi dua a mehyɛɛ wo sɛ nnie no bie nti, wo nti wɔadome asase. Yea mu na wobɛdidi soɔ wo nkwa nna nyinaa."
18,"Your food will be plants, but the ground will produce thorns and thistles.","Na nkasɛɛ ne nnɛnkyɛnse na ɛbɛfifiri ama woɔ, na woadi afuo mu ahahan."
19,"You will sweat all your life to earn a living; you were made out of soil, and you will once again turn into soil.”","W’anim fifire mu na wobɛdidie de akɔsi sɛ wobɛsane akɔ dɔteɛ mu, ɛfiri sɛ emu na wɔyii wo firiiɛ; na woyɛ dɔteɛ, na dɔteɛ mu na wobɛsane akorɔ."
20,The man Adam named his wife Eve because she would become the mother of all who live.,"Na Adam no too ne yere din Hawa, ɛfiri sɛ ɔno na ɔyɛ ateasefoɔ nyinaa na."
21,Then the Lord God made clothes out of animal skins for the man and his wife.,Na AWURADE Nyankopɔn yɛɛ nwoma ntadeɛ maa Adam ne ne yere de hyɛɛ wɔn. Wɔpamo Adam ne Hawa firi turo no mu
22,"The Lord said, “They now know the difference between right and wrong, just as we do. But they must not be allowed to eat fruit from the tree that lets them live forever.”","Na AWURADE Nyankopɔn kaa sɛ: Hwɛ, onipa no ayɛ sɛ yɛn mu baako, hunu papa ne bɔne. Na afei, deɛ ɛbɛyɛ na wantene ne nsa ante nkwa dua no nso bi anni antena ase daa nti,"
23,"So the Lord God sent them out of the Garden of Eden, where they would have to work the ground from which the man had been made.",AWURADE Nyankopɔn tuu no firii Eden turom hɔ sɛ ɔnkɔdɔ asase a wɔfaa no firii mu no.
24,"Then God put winged creatures at the entrance to the garden and a flaming, flashing sword to guard the way to the life-giving tree.","Na ɔpamm onipa no, na ɔde Kerubim ne ogyaframa afena a ɛdi ahim bɛsii Eden turo no anim apueeɛ fam sɛ wɔnwɛn ɔkwan a ɛde kɔ nkwa dua no ho no."
1,"Adam and Eve had a son. Then Eve said, “I'll name him Cain because I got him with the help of the Lord.”","Na Adam ne ne yere Hawa daeɛ, na ɔnyinsɛnee, na ɔwoo Kain. Na ɔkaa sɛ: AWURADE adaworoma manya ɔbarima."
2,"Later she had another son and named him Abel. Abel became a sheep farmer, but Cain farmed the land.","Na ɔwoo ne nua Habel kaa ne ho. Na Habel yɛ odwanhwɛfoɔ, ɛna Kain nso yɛ okuafoɔ."
3,"One day, Cain gave part of his harvest to the Lord,","Na ɛbaa sɛ nna bi akyiri no, Kain de afuom nnoɔma bɛyɛɛ AWURADE ayɛ."
4,"and Abel also gave an offering to the Lord. He killed the first-born lamb from one of his sheep and gave the Lord the best parts of it. The Lord was pleased with Abel and his offering,","Na Habel nso de ne nnwan mu mmakan ne wɔn a wɔadɔre no bi bɛmae. Na AWURADE ani sɔɔ Habel ne n’ayɛyɛdeɛ no,"
5,but not with Cain and his offering. This made Cain so angry that he could not hide his feelings.,"nanso Kain ne n’ayɛyɛdeɛ no deɛ, n’ani ansɔ. Kain bo fuu pii, na ɔmunae."
6,The Lord said to Cain: What's wrong with you? Why do you look so angry?,Na AWURADE bisaa Kain sɛ: Adɛn nti na wo bo afuo na woamuna yi?
7,"If you had done the right thing, you would be smiling. But you did the wrong thing, and now sin is waiting to attack you like a lion. Sin wants to destroy you, but don't let it!","Sɛ woyɛɛ no yie a, anka w’anim rente anaa? Na sɛ woanyɛ no yie enti, bɔne butu ɛpono ano, na w’akyiri kwan na ɛhwehwɛ, nanso di ne so."
8,"Cain said to his brother Abel, “Let's go for a walk.” And when they were out in a field, Cain attacked and killed him.","Na Kain ka kyerɛɛ ne nua sɛ, ma yɛn nkɔ afuom. Na ɛbaa sɛ wɔwɔ afuom no, Kain sɔre tiaa ne nua Habel, na ɔkumm no."
9,"Afterwards the Lord asked Cain, “Where is Abel?” “How should I know?” he answered. “Am I supposed to look after my brother?”","Na AWURADE bisaa Kain sɛ: Ɛhe na wo nua Habel wɔ? Na ɔse: Mennim, me nua so hwɛfoɔ ne me anaa?"
10,"Then the Lord said: Why have you done this terrible thing? You killed your own brother, and his blood flowed onto the ground. Now his blood is calling out for me to punish you.",Na AWURADE se: Ɛdeɛn na woayɛ yi? Wo nua mogya nne reteam frɛ me firi asase so.
11,"And so, I'll put you under a curse. Because you killed Abel and made his blood run out on the ground, you will never be able to farm it again.",Na afei wɔadome wo afiri asase a abue n’ano agye wo nua mogya afiri wo nsam no so.
12,"When you try to farm the land, it won't produce anything for you. From now on, you'll be without a home, and you'll spend the rest of your life wandering from place to place.","Sɛ wodɔ asase a, ɛrenkɔ so mma wo ne nnɔbaeɛ bio na wobɛyɛ ɔkobɔni ne asesabɔni wɔ asase so."
14,"“You're making me leave my home and live far from you. I will have to wander about without a home, and just anyone could kill me.”","Hwɛ, woapamo me nnɛ afiri asase yi so, na mɛhunta mafiri w’anim, na mayɛ ɔkobɔni ne asesabɔni wɔ asase so, na obiara a ɔbɛhu me no, ɔbɛku me."
15,“No!” the Lord answered. “Anyone who kills you will be punished seven times worse than I am punishing you.” So the Lord put a mark on Cain to warn everyone not to kill him.,"Na AWURADE ka kyerɛɛ no sɛ: Ɛno nti obiara a ɔbɛkum Kain no, wɔbɛtɔ ne so werɛ ahodoɔ nson. Na AWURADE yɛɛ nsɛnkyerɛnneɛ bi maa Kain, na obiara a ɔbɛhu no no anku no."
16,"But Cain had to go far from the Lord and live in the Land of Wandering, which is east of Eden. More and More People","Na Kain firii AWURADE anim kɔe, na ɔkɔtenaa Nod asase so wɔ Eden apueeɛ. Kain asefoɔ"
17,"Later, Cain and his wife had a son named Enoch. At the time Cain was building a town, and so he named it Enoch after his son.","Na Kain ne ne yere dae, na ɔnyinsɛnee, na ɔwoo Henok. Na ɔkyekyeree kuro bi, na ɔde ne ba Henok din too kuro no."
18,"Then Enoch had a son named Irad, who had a son named Mehujael, who had a son named Methushael, who had a son named Lamech.","Na Henok woo Irad, na Irad woo Mehuyael. Na Mehuyael woo Metusael, na Metusael woo Lamek."
22,"Lamech and Zillah had a son named Tubal Cain who made tools out of bronze and iron. They also had a daughter, whose name was Naamah.",Na Sila nso woo Tubalkain a ɔyɛ kɔbere mfrafraeɛ ne dadeɛ adeɛ nyinaa atomfoɔ agya. Na Tubalkain nuabaa ne Naama.
23,"One day, Lamech said to his two wives, “A young man wounded me, and I killed him.","Na Lamek ka kyerɛɛ ne yerenom sɛ: Ada ne Sila, montie me nne; Lamek yerenom, monyɛ aso mma m’asɛm: Mekumm ɔbarima sɛ ɔpiraa me, mekumm aberanteɛ sɛ ɔboroo me."
24,Anyone who tries to get even with me will be punished ten times more than anyone who tries to get even with Cain.”,"Na sɛ wɔtɔɔ Kain so werɛ mprɛnson a, Lamek deɛ bɛyɛ aduɔson nson. Set ne Enos awoɔ"
25,"Adam and his wife had another son. They named him Seth, because they said, “God has given us a son to take the place of Abel, who was killed by his brother Cain.”","Na Adam ne ne yere daeɛ bio, na ɔwoo ɔbabarima, na ɔtoo ne din Set sɛ: Onyankopɔn de ɔba foforɔ asi me Habel a Kain kumm no no ananmu."
26,"Later, Seth had a son and named him Enosh. About this time people started worshiping the Lord.","Na Set nso, wɔwoo ɔba maa no, na ɔtoo ne din Enos. Ɛberɛ no mu na wɔfirii aseɛ bɔɔ AWURADE din sɔree no."
24,and God took him away at the age of,"Na Henok ne Onyankopɔn nantee, na wɔanhunu no bio, ɛfiri sɛ Onyankopɔn faa no kɔe."
29,"Lamech said, “I'll name him Noah because he will give us comfort, as we struggle hard to make a living on this land that the Lord has put under a curse.”","Na ɔtoo ne din Noa, na ɔkaa sɛ: Oyi na ɔbɛkyekyere yɛn werɛ wɔ yɛn nnwuma ne yɛn nsa ano brɛ mu wɔ asase a AWURADE adome no soɔ."
2,"More and more people were born, until finally they spread all over the earth. Some of their daughters were so beautiful that supernatural beings came down and married the ones they wanted.","Nyankopɔn mma hunuu nnipa mmammaa sɛ wɔn ho yɛ fɛ, na wɔwarewaree wɔn mu biara a wɔpɛ."
3,"Then the Lord said, “I won't let my life-giving breath remain in anyone forever. No one will live for more than","Na AWURADE kaa sɛ: Me honhom rentena onipa mu nkɔsi daa, ɛfiri sɛ wɔyɛ honam, enti ne nna bɛyɛ mfeɛ ɔha aduonu."
4,The children of the supernatural beings who had married these women became famous heroes and warriors. They were called Nephilim and lived on the earth at that time and even later.,"Nna no mu ne akyire no, na abrane akɛseɛ wɔ asase so. Na Nyankopɔn mma kɔɔ nnipa mmammaa ho na wɔwoo mma maa wɔn no, yeinom ne aberempɔn a wɔwɔ din firi tete."
5,The Lord saw how bad the people on earth were and that everything they thought and planned was evil.,"Na AWURADE hunuu sɛ nnipa bɔne dɔɔso pii wɔ asase so, na wɔn akoma mu nsusuiɛ nyinaa yɛ bɔne nko daa nyinaa."
6,"He was sorry that he had made them,","Na AWURADE nuu ne ho sɛ ɔyɛɛ onipa wɔ asase soɔ, na ɛyɛɛ no ya n’akomam."
7,"and he said, “I'm going to destroy every person on earth! I'll even wipe out animals, birds, and reptiles. I'm sorry I ever made them.”","Na AWURADE kaa sɛ: Mɛpepa nnipa a mabɔ wɔn no afiri asase ani, ampa ara, ɛfiri onipa so kɔsi ntɔteboa ne mmoa a wɔwea ne ewiem nnomaa so, ɛfiri sɛ manu me ho sɛ meyɛɛ wɔn."
8,"But the Lord was pleased with Noah,","Na Noa deɛ, ɔnyaa adom AWURADE anim. Noa adaka no"
9,and this is the story about him. Noah was the only person who lived right and obeyed God.,Yei ne Noa ho asɛm: Na Noa yɛ onipa tenenee a ɔyɛ pɛ wɔ ne berɛ so nnipa mu. Noa ne Onyankopɔn nanteeɛ.
10,"He had three sons: Shem, Ham, and Japheth.","Na Noa woo mmammarima baasa, Sem, Ham, ne Yafet."
12,God knew that everyone was terribly cruel and violent.,"Na Onyankopɔn hunuu asase, na hwɛ, asɛe, ɛfiri sɛ na nnipa nyinaa asɛe wɔn akwan wɔ asase so."
14,Get some good lumber and build a boat. Put rooms in it and cover it with tar inside and out.,"Fa ɔwawa yɛ adaka, na yɛ mpia wɔ adaka no mu, na fa ama ka emu ne ɛho."
22,Noah did everything God told him to do.,Na Noa yɛɛ sɛdeɛ Onyankopɔn hyɛɛ no no nyinaa pɛpɛɛpɛ.
17,I'm going to send a flood that will destroy everything that breathes! Nothing will be left alive.,"Na hwɛ, me, mede nsuyire bɛba asase so mabɛsɛe abɔdeɛ a nkwa home wɔ wɔn mu nyinaa ɔsoro ase; asase so adeɛ nyinaa rebɛwuwu."
18,"But I solemnly promise that you, your wife, your sons, and your daughters-in-law will be kept safe in the boat.","Na me ne wo bɛyɛ apam ato hɔ, na woakɔ adaka no mu, wo ne wo mma, ne wo yere, ne wo mma yerenom."
20,"Take into the boat with you a male and a female of every kind of animal and bird, as well as a male and a female of every reptile. I don't want them to be destroyed.","Nnomaa sɛdeɛ wɔn su teɛ, ne ntɔteboa, sɛdeɛ wɔn su teɛ, ne mmoa a wɔwea asase soɔ nyinaa, sɛdeɛ wɔn su teɛ, wɔn nyinaa mu mmienu mmienu mmra wo nkyɛn, na wɔanya nkwa."
21,Store up enough food both for yourself and for them.,"Na wo deɛ, boaboa aduane nyinaa bi ano kɔ mu, na ayɛ wo ne wɔn aduane."
1,"The Lord told Noah: Take your whole family with you into the boat, because you are the only one on this earth who pleases me.","Na AWURADE ka kyerɛɛ Noa sɛ: Wo ne wo fiefoɔ nyinaa, monkɔ adaka no mu, ɛfiri sɛ wo na mahu wo sɛ ɔteneneeni m’anim, ɛberɛ yi mu."
2,Take seven pairs of every kind of animal that can be used for sacrifice and one pair of all others.,"Mmoa a wɔn ho teɛ nyinaa mu, fa nson nson, anini ne abedeɛ. Na mmoa a wɔn ho nteɛ mu, fa mmienu mmienu, onini ne ɔbedeɛ;"
3,Also take seven pairs of every kind of bird with you. Do this so there will always be animals and birds on the earth.,"ewiem nnomaa mu nso fa nson nson, anini ne abedeɛ, na wɔn ase nnya nkwa asase nyinaa ani."
